OBJECTID,NEIGHBORHOOD,NAME,ADDRESS,ADDRESS_NOTES,ZIP,DAY,TIME,MONTHS,ACCEPT_SNAP_ACCESS,ACCEPT_FMNP,ACCEPT_PHILLY_FOOD_BUCKS_,MAJOR_BUS_SUBWAY_ROUTES
1,Bridesburg/Kensington/Port Richmond,Greensgrow Farm Stand,2501 E. Cumberland Ave,,19125,Thurs & Sat,"Thurs: 3-7pm, Sat: 10am-2pm ",May - September,Y,Y,Y,"25, 39, 43, 89"
2,Bridesburg/Kensington/Port Richmond,Norris Square Neighborhood Project,Diamond St and N. Howard St,,19122,Thurs,1pm - 3pm,May - October,Y,Y,Y,"3, 39, 89"
3,Center City,Rittenhouse,18th and Walnut St,,19103,Tues & Sat,"Tues 10am-2pm, Sat 9am-3pm (may to Nov); 10am - 2pm (Dec to Apr)","Tues- June 4th - November 26th; Sat- Year round: 9am - 3pm (May - end of November); 10am - 2pm (December - end of April)",,Y,,"9, 17"
4,Center City,Fairmount,22nd St. and Fairmount Ave.,,19130,Thurs,3-7pm,June 6th- November 27th,Y,Y,Y,"7, 32, 33, 48, PHLASH"
5,Center City,Francisville Artisan and Farmers Market,1628-32 Ridge Ave,,19130,Sat,10am - 2pm,TBD,,,,
6,Center City,Jefferson,10th and Chestnut St,,19107,Thurs,11am-3pm,mid-April - November 21st,Y ,Y,Y ,"MFL (8th or 11th st stop), 47"
7,Center City,Fitler Square Park,23rd and Pine St,,19103,Sat,9am-2pm,Open year round,Y,Y,Y,"7, 12, 40"
8,Center City,Headhouse,2nd and Lombard St,,19147,Sun,10am-2pm,Open year round,Y,Y,Y,"12, 40, 57"
9,Center city,Christ Church,"On Church St, between 2nd and 3rd Sts.",,19106,Wed,2-7pm,May 15 - October,,,,"48, 57"
10,Germantown/ Chestnut Hill,Germantown Kitchen Garden,215 E. Penn St.,,19144,Sat,9am-1pm,May  - October,Y,Y,Y,23
11,Germantown/ Chestnut Hill,Germantown & Schoolhouse,Germantown Ave and E. Schoolhouse Lane,In front of Market Square Park,19144,Thurs,3-7pm,June 13th - October 31st,Y,Y,Y,
12,Germantown/ Chestnut Hill,East Falls,4100 Ridge Ave,In parking lot under Route 1,19129,Sat,10am-2pm,May - November  ,Y,Y,Y,61
13,Germantown/ Chestnut Hill,Chestnut Hill Farmers’ Market,Winston Rd and Germantown Ave.,,19118,Sat,"9am – 1pm; 10am - 12pm","Open year round: 9am - 1pm (May - end of November); 10am - 12pm (Dec-April)",,Y,,"23, 77, L, Chestnut Hill Line, Chestnut Hill West Line"
