X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1876346078809,40.0576802362899,311,Mount Airy Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.2037158492299,40.0513668797888,312,Allens Lane Art Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.2282883106612,40.0418549175716,313,Joseph V Kelly Memorial Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Google Street View 2018, Playground Equipment 2017, Pictometry 2020"
-75.2289801159086,40.0339874315308,314,Hillside Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,Next to Recreation Center,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.230665826987,40.0330757766278,315,Hillside Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,On the Southwest Corner,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.211611230664,40.0290171408538,316,W Freeland Kendrick Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Google Street View 2018, Playground Equipment 2017, Pictometry 2020"
-75.2206850425066,40.025455711282,317,Pretzel Park,2_5_YEARS,2019/03/01 00:00:00+00,,"Capital 2020; Pictometry 2020"
-75.2033534207699,40.0227073200466,318,David P Montgomery Field,2_5_YEARS,1970/01/01 00:00:00+00,,"Google Street View 2018, Playground Equipment 2017, Pictometry 2020"
-75.1574066908707,40.061374937528,319,William B Simons Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.1659446615157,40.0535855696419,320,Awbury Park and Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017"
-75.1595800850533,40.0501557091593,321,Lonnie Young Recreation Center of East Germantown,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1688499626903,40.0453413766033,322,Waterview Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.174570857319,40.0395361871462,323,Morton Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1768506691258,40.0362306832826,324,Vernon Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.1877053493249,40.0087886577862,325,Harry S McDevitt Playground,2_5_YEARS,2013/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1562298708603,40.0425758827891,326,Belfield Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1489728059289,40.0396580130743,327,Fanny Kemble Abolitionist Memorial Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2005045713429,40.0755718213402,328,Water Tower Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1771961568491,40.0515708678345,329,Cliveden Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1798946135747,40.0477944163429,330,Daniel E Rumph II Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1746965090611,40.0021091535906,331,James Allen Shuler Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1798606175415,39.9979526451918,332,29th and Chalmers Playground,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1755181509585,39.987359432169,333,Eric W (Hank) Gathers Jr Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1614168555222,40.0064455011922,334,Jerome Brown Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1658592353719,40.0018511615657,335,Vincent G Panati Playground,2_5_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1673742844734,39.9941714793759,336,Cecil B Moore Recreation Center,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1717254788572,39.9821770814425,337,Montgomery and Croskey Play Lot,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1697195929352,39.9807380227564,338,Dr Martin Luther King Jr Recreation Center,2_5_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1558046907802,40.0005081344086,339,Heritage Park Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.157571052329,39.988789664427,340,Marie Winchester Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.160319020666,39.9817745149932,341,Fletcher B Amos Playground,2_5_YEARS,2013/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1495334887572,39.996801496677,342,12th and Cambria Playground,2_5_YEARS,2011/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1460421611176,39.989407927805,343,Veterans Memorial Recreation Center of the Nineteenth Ward,2_5_YEARS,2013/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1518774683661,39.9862213803778,344,Penrose Memorial Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1382366342274,40.0001077535737,345,Ramonita Negron Rivera Recreation and Community Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.1390057203049,39.9906110779884,346,Fairhill Square,2_5_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1382974509137,39.9891791133481,347,Frank S Nelson Jr Memorial Recreation Center,2_5_YEARS,2020/01/01 00:00:00+00,Installed between 2019-2010.,Pictometry 2020
-75.1292646225795,40.0019597047439,348,John (Steve) Schmidt Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.132719385518,39.9882698418502,349,Waterloo Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1349872614807,39.9825068892416,350,Norris Square,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2082853590978,40.002381523161,351,Woodside Park,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1878157576346,39.988962053805,352,Joseph E Mander Playground,2_5_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1990860789163,39.9735853080929,353,Clayborne and Lewis Playground,2_5_YEARS,2004/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2005346523913,39.9658764803438,354,Norman (Butch) Ellis Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1957208440356,39.9672795199565,355,Miles Mack Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1905442291553,39.9650671826514,356,33rd and Wallace Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.178167362378,39.978247421932,357,Athletic Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1666944289962,39.9688221306439,358,Francisville Recreation Center,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1675887941267,39.9655702673435,359,Roberto Clemente Playground,2_5_YEARS,2011/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1835428253994,39.9481274231297,360,William H (Billy) Markward Memorial Playground,2_5_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.179362105252,39.9423075698804,361,22nd and Catharine Park,2_5_YEARS,1970/01/01 00:00:00+00,Looks like Non-PPR Equipment,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1713646942886,39.9421155126006,362,Marian Anderson Recreation Center,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2318960873511,39.9835536911541,363,Triangle Park,5_12_YEARS,2014/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.2411023033799,39.9820026888216,364,Ernest L Tustin Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.256229400628,39.9743843300739,365,Charles A Papa Playground,2_5_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2601639605939,39.9729197373523,366,Samuel Rose Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.228087110321,39.9753834477809,367,Conestoga Community Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017"
-75.2344718634119,39.9671596230333,368,Haddington-Marshall L Shepard Sr Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
