OBJECTID,SEG_ID,STREETNAME,ST_CODE,ONEWAY,CLASS,TYPE,Shape__Length
1230,401924,SPRUCE  ST,73960,B,3,Conventional,559.366936328355
1231,401919,SPRUCE  ST,73960,B,3,Conventional,561.733861142849
1232,300576,S  58TH  ST,88980,TF,4,Paint Buffered,196.673736443704
1233,300572,S  58TH  ST,88980,TF,4,Paint Buffered,189.085533951555
1234,401926,S  58TH  ST,88980,TF,4,Paint Buffered,199.239983941609
1235,400574,SPRUCE  ST,73960,B,3,Conventional,561.419581972113
1236,400575,SPRUCE  ST,73960,B,3,Conventional,196.888895132547
1237,300573,S  57TH  ST,88960,B,3,Conventional,188.8015722824
1238,300036,S  57TH  ST,88960,B,3,Conventional,197.40426948061
1239,300043,S  57TH  ST,88960,B,3,Conventional,169.314236162975
1240,300054,S  57TH  ST,88960,B,3,Conventional,195.456357078507
1241,300653,S  58TH  ST,88980,TF,4,Paint Buffered,195.831962446095
1242,300652,S  58TH  ST,88980,TF,4,Paint Buffered,170.373170874644
1243,300157,S  57TH  ST,88960,B,3,Conventional,194.060814718528
1244,300178,S  58TH  ST,88980,TF,4,Paint Buffered,181.578507259872
1245,300170,S  58TH  ST,88980,TF,4,Paint Buffered,173.577448557592
1246,300164,S  58TH  ST,88980,TF,4,Paint Buffered,195.74858984888
1247,300683,S  57TH  ST,88960,B,3,Conventional,307.370606589302
1248,300171,BALTIMORE  AVE,15620,B,2,Conventional,204.738943951853
1249,401898,SPRUCE  ST,73960,B,3,Conventional,612.820751939402
1250,400858,SPRUCE  ST,73960,B,3,Conventional,512.289278223003
1251,300369,BALTIMORE  AVE,15620,B,2,Conventional,513.749567791821
1252,300370,BALTIMORE  AVE,15620,B,2,Conventional,511.08812990901
1253,401933,SPRUCE  ST,73960,B,3,Conventional,559.61143330325
1254,420972,SPRUCE  ST,73960,B,3,Conventional,559.283946322603
1255,420967,SPRUCE  ST,73960,B,3,Conventional,561.113405956421
1256,320165,S  48TH  ST,88750,B,3,Conventional,246.994736780021
1257,320164,S  48TH  ST,88750,B,3,Conventional,289.83097216099
1258,421008,S  44TH  ST,88670,FT,4,Conventional,390.250344683918
1259,421007,SPRUCE  ST,73960,B,3,Conventional,403.73567353362
1260,421011,S  43RD  ST,88650,TF,4,Conventional,213.994131635366
1261,322867,S  43RD  ST,88650,TF,4,Conventional,181.917028968032
1262,320071,S  43RD  ST,88650,TF,4,Conventional,204.147704263816
1263,320070,S  43RD  ST,88650,TF,4,Conventional,81.3965468453762
1264,320058,S  44TH  ST,88670,FT,4,Conventional,279.026636991354
1265,320059,S  44TH  ST,88670,FT,4,Conventional,284.052875489249
1266,320069,S  43RD  ST,88650,TF,4,Conventional,284.401572335199
1267,320075,S  42ND  ST,88630,B,4,Conventional,248.615139392974
1268,320080,BALTIMORE  AVE,15620,B,2,Conventional,326.366329414929
1269,320074,S  42ND  ST,88630,B,4,Conventional,187.665740252642
1270,421012,SPRUCE  ST,73960,B,3,Conventional,382.412317135209
1271,421014,S  42ND  ST,88630,B,4,Conventional,202.933865994653
1272,421010,SPRUCE  ST,73960,B,3,Conventional,259.746355540343
1273,320079,BALTIMORE  AVE,15620,B,2,Conventional,319.068625514683
1274,320083,BALTIMORE  AVE,15620,B,2,Conventional,349.18829886712
1275,320082,BALTIMORE  AVE,15620,B,2,Conventional,254.291350903469
1276,320076,S  42ND  ST,88630,B,4,Conventional,254.355391856141
1277,320081,BALTIMORE  AVE,15620,B,2,Conventional,386.7569970307
1278,320093,S  40TH  ST,88590,FT,4,Conventional,280.318108716347
1279,300198,COBBS CREEK  PKWY,24060,B,2,Conventional,263.168562199798
1280,300527,COBBS CREEK  PKWY,24060,B,2,Conventional,293.173675122366
1281,300381,COBBS CREEK  PKWY,24060,B,2,Conventional,284.886700764468
1282,300842,HOFFMAN  AVE,42940,B,2,Conventional,529.280570472122
1283,300382,COBBS CREEK  PKWY,24060,B,2,Conventional,322.732485730534
1284,100071,MARIO LANZA  BLVD,53490,B,4,Conventional,902.32793013872
1285,320102,CHESTER  AVE,22760,B,3,Conventional,144.338656693165
1286,320099,WOODLAND  AVE,84480,B,3,Conventional,219.002501436947
1287,320098,WOODLAND  AVE,84480,B,2,Conventional,197.112452303941
1288,322711,CHESTER  AVE,22760,B,3,Conventional,557.371097319745
1289,320104,CHESTER  AVE,22760,B,3,Conventional,197.491599023673
1290,320103,CHESTER  AVE,22760,B,3,Conventional,190.66424591858
1291,320100,WOODLAND  AVE,84480,B,3,Conventional,577.702543188958
1292,320299,WOODLAND  AVE,84480,B,3,Conventional,273.712860168214
1293,220280,S  70TH  ST,89330,B,3,Conventional,1537.87924981899
1294,220274,ESSINGTON  AVE,32200,B,2,Conventional,943.002689516715
1295,220265,NORWITCH  DR,60235,B,5,Conventional,2895.70744971102
1296,220336,S  70TH  ST,89330,B,3,Conventional,823.432800800832
1297,220266,ESSINGTON  AVE,32200,B,2,Conventional,3042.85284318703
1298,220276,ESSINGTON  AVE,32200,B,2,Conventional,2314.59978509402
1299,200770,BUIST  AVE,19740,B,4,Conventional,34.7310266368823
1300,200559,BUIST  AVE,19740,B,4,Conventional,421.658689051603
1301,200558,BUIST  AVE,19740,B,4,Conventional,210.844568875127
1302,200181,ELMWOOD  AVE,31480,B,4,Conventional,321.988385461655
1303,200185,ELMWOOD  AVE,31480,B,4,Conventional,197.393378672593
1304,200672,BUIST  AVE,19740,B,4,Conventional,202.838947240559
1305,200567,BUIST  AVE,19740,B,4,Conventional,519.136489699984
1306,200162,ELMWOOD  AVE,31480,B,4,Conventional,523.740123026412
1307,200168,ELMWOOD  AVE,31480,B,4,Conventional,216.038880829774
1308,200165,WOODLAND  AVE,84480,B,3,Conventional,235.609190875859
1309,200530,WOODLAND  AVE,84480,B,3,Conventional,269.686200536846
1310,200531,WOODLAND  AVE,84480,B,3,Conventional,226.139555678574
1311,200047,WOODLAND  AVE,84480,B,3,Conventional,136.702634819571
1312,200042,WOODLAND  AVE,84480,B,3,Conventional,167.892033783721
1313,200035,WOODLAND  AVE,84480,B,3,Conventional,238.488777085437
1314,200104,WOODLAND  AVE,84480,B,3,Conventional,296.365075588937
1315,200094,WOODLAND  AVE,84480,B,3,Conventional,201.930184380476
1316,200089,WOODLAND  AVE,84480,B,3,Conventional,175.806185128162
1317,200081,WOODLAND  AVE,84480,B,3,Conventional,196.027012740245
1318,220275,ESSINGTON  AVE,32200,B,2,Conventional,2007.93177558968
1319,220056,ESSINGTON  AVE,32200,B,2,Conventional,158.056750390356
1320,220627,BUIST  AVE,19740,B,4,Conventional,251.299651365656
1321,220622,BUIST  AVE,19740,B,4,Conventional,249.41825390581
1322,220616,BUIST  AVE,19740,B,4,Conventional,237.183932912696
1323,220613,BUIST  AVE,19740,B,4,Conventional,234.994241617384
1324,220607,BUIST  AVE,19740,B,4,Conventional,469.272681109045
1325,220262,S  63RD  ST,89080,B,2,Conventional,2232.7748705327
1326,220765,ELMWOOD  AVE,31480,B,4,Conventional,57.3126782720838
1327,220764,ELMWOOD  AVE,31480,B,4,Conventional,195.440498900151
1328,220747,ELMWOOD  AVE,31480,B,4,Conventional,182.547665239133
1329,220755,ELMWOOD  AVE,31480,B,4,Conventional,322.125504565178
1330,220752,ELMWOOD  AVE,31480,B,4,Conventional,142.574325658181
1331,220745,ELMWOOD  AVE,31480,B,4,Conventional,193.243902233856
1332,320468,ELMWOOD  AVE,31480,B,4,Conventional,167.566151749428
1333,320474,ELMWOOD  AVE,31480,B,4,Conventional,26.4844939693921
1334,322728,ELMWOOD  AVE,31480,B,4,Conventional,708.995347990852
1335,323344,ELMWOOD  AVE,31480,B,4,Conventional,22.7515571091794
1336,320473,ELMWOOD  AVE,31480,B,4,Conventional,168.499100547498
1337,220261,S  61ST  ST,89040,B,3,Conventional,3776.73867180706
1338,220696,S  61ST  ST,89040,B,3,Conventional,315.891582869533
1339,220691,S  61ST  ST,89040,B,3,Conventional,210.066167037725
1340,300458,KINGSESSING  AVE,47780,B,4,Conventional,390.611965331717
1341,300279,KINGSESSING  AVE,47780,B,4,Conventional,557.483379890778
1342,300906,KINGSESSING  AVE,47780,B,4,Conventional,21.9612797223837
1343,300274,KINGSESSING  AVE,47780,B,4,Conventional,387.702485654977
1344,300484,S  59TH  ST,89000,B,4,Sharrow,267.216007266413
1345,300485,FLORENCE  AVE,34520,B,4,Conventional,518.191302797435
1346,300261,SPRINGFIELD  AVE,73900,B,3,Conventional,616.037624366383
1347,300466,S  59TH  ST,89000,B,5,Sharrow,246.43793434776
1348,300468,S  59TH  ST,89000,B,5,Sharrow,250.256683218641
1349,300256,SPRINGFIELD  AVE,73900,B,3,Conventional,521.958182065272
1350,300252,SPRINGFIELD  AVE,73900,B,3,Conventional,188.743797363966
1351,320438,ELMWOOD  AVE,31480,B,4,Conventional,324.874237819437
1352,320441,ELMWOOD  AVE,31480,B,4,Conventional,194.697264728296
1353,322721,S  49TH  ST,88770,B,2,Conventional,577.222880315
1354,320597,WOODLAND  AVE,84480,B,3,Conventional,180.301155757249
1355,323342,WOODLAND  AVE,84480,B,3,Conventional,23.1450091719473
1356,320618,WOODLAND  AVE,84480,B,3,Conventional,138.363836669442
1357,320630,KINGSESSING  AVE,47780,B,4,Conventional,518.151497199781
1358,320561,KINGSESSING  AVE,47780,B,4,Conventional,202.650054973397
1359,320560,KINGSESSING  AVE,47780,B,4,Conventional,181.854036730852
1360,320559,KINGSESSING  AVE,47780,B,4,Conventional,163.509243556624
1361,320558,KINGSESSING  AVE,47780,B,4,Conventional,176.289253010408
1362,323059,SPRINGFIELD  AVE,73900,B,3,Conventional,520.281936989409
1363,323063,SPRINGFIELD  AVE,73900,B,3,Conventional,177.735551577278
1364,323064,SPRINGFIELD  AVE,73900,B,3,Conventional,163.759482190228
1365,320525,KINGSESSING  AVE,47780,B,4,Conventional,147.06131365959
1366,320524,KINGSESSING  AVE,47780,B,4,Conventional,186.089695690511
1367,320523,KINGSESSING  AVE,47780,B,4,Conventional,201.283475153818
1368,320522,KINGSESSING  AVE,47780,B,4,Conventional,172.302950212639
1369,320527,KINGSESSING  AVE,47780,B,4,Conventional,520.895333385396
1370,320526,KINGSESSING  AVE,47780,B,4,Conventional,186.36203205865
1371,320528,KINGSESSING  AVE,47780,B,4,Conventional,190.683391529318
1372,300326,KINGSESSING  AVE,47780,B,4,Conventional,74.9453433807523
1373,300322,KINGSESSING  AVE,47780,B,4,Conventional,121.727847440973
1374,320607,WOODLAND  AVE,84480,B,3,Conventional,185.30823350032
1375,320615,WOODLAND  AVE,84480,B,3,Conventional,346.20783342004
1376,320612,WOODLAND  AVE,84480,B,3,Conventional,173.277592028347
1377,320376,WOODLAND  AVE,84480,B,3,Conventional,178.472019627956
1378,320375,WOODLAND  AVE,84480,B,3,Conventional,327.841024636347
1379,320353,KINGSESSING  AVE,47780,B,4,Conventional,219.419653804826
1380,320352,KINGSESSING  AVE,47780,B,4,Conventional,215.052385757974
1381,320282,KINGSESSING  AVE,47780,B,4,Conventional,469.10249250987
1382,320138,BALTIMORE  AVE,15620,B,2,Conventional,599.268887308889
1383,320206,S  48TH  ST,88750,B,4,Conventional,285.46519917421
1384,320166,S  48TH  ST,88750,B,3,Conventional,166.452318515041
1385,320167,BALTIMORE  AVE,15620,B,2,Conventional,566.216530141481
1386,420981,SPRUCE  ST,73960,B,3,Conventional,271.519945299816
1387,320034,S  48TH  ST,88750,B,3,Conventional,283.854413258491
1388,420985,SPRUCE  ST,73960,B,3,Conventional,281.143013490722
1389,420995,S  48TH  ST,88750,B,3,Conventional,391.008042135871
1390,420990,SPRUCE  ST,73960,B,3,Conventional,567.906635638287
1391,420994,SPRUCE  ST,73960,B,3,Conventional,284.103412060745
1392,420996,SPRUCE  ST,73960,B,3,Conventional,279.64780925418
1393,420997,SPRUCE  ST,73960,B,3,Conventional,248.97217597767
1394,420999,SPRUCE  ST,73960,B,3,Conventional,312.463563937364
1395,421005,SPRUCE  ST,73960,B,3,Conventional,365.079121834959
1396,422063,SPRUCE  ST,73960,B,3,Conventional,459.947811267038
1397,421015,SPRUCE  ST,73960,B,3,Conventional,709.705180732667
1398,421017,S  40TH  ST,88590,FT,4,Conventional,199.83643972459
1399,320092,S  40TH  ST,88590,FT,4,Conventional,191.828146135347
1400,300212,WHITBY  AVE,82840,B,3,Conventional,284.036990345465
1401,300191,WHITBY  AVE,82840,B,3,Conventional,170.91515322282
1402,300182,WHITBY  AVE,82840,B,3,Conventional,200.945322964925
1403,300185,WHITBY  AVE,82840,B,3,Conventional,149.844759042921
1404,300204,WHITBY  AVE,82840,B,3,Conventional,521.781874918409
1405,300745,THOMAS  AVE,77100,B,4,Conventional,239.193932406884
1406,300317,THOMAS  AVE,77100,B,4,Conventional,46.0605088278804
1407,300196,THOMAS  AVE,77100,B,4,Conventional,111.528157096826
1408,300189,THOMAS  AVE,77100,B,4,Conventional,518.022539055894
1409,300192,THOMAS  AVE,77100,B,4,Conventional,175.795078876885
1410,300155,BALTIMORE  AVE,15620,B,2,Conventional,221.944280726503
1411,300687,BALTIMORE  AVE,15620,B,2,Conventional,203.440533047507
1412,322814,LINDBERGH  BLVD,50820,B,2,Conventional,356.920871888583
1413,200600,ISLAND  AVE,45120,FT,2,Paint Buffered,3096.88956735977
1414,200568,BUIST  AVE,19740,B,4,Conventional,106.225085643843
1415,200781,BUIST  AVE,19740,B,4,Conventional,63.2760413047171
1416,322843,KINGSESSING  AVE,47780,B,4,Conventional,194.883094313431
1417,200285,MARIO LANZA  BLVD,53490,B,4,Conventional,2138.14263340418
1418,323366,UNIVERSITY  AVE,78920,B,2,Conventional,415.49546803422
1419,320110,UNIVERSITY  AVE,78920,B,2,Conventional,187.332416570423
1420,423094,S  33RD  ST,88450,TF,2,Paint Buffered,441.376002674918
1421,422359,S  33RD  ST,88450,TF,2,Paint Buffered,531.62420355259
1422,423090,S  34TH  ST,88470,FT,2,Conventional,183.674066829304
1423,423091,S  34TH  ST,88470,FT,2,Conventional,256.389524730534
1424,422150,S  34TH  ST,88470,FT,2,Conventional,433.444204946257
1425,423104,SPRUCE  ST,73960,B,3,Conventional,777.894277472541
1426,423106,SPRUCE  ST,73960,B,3,Conventional,453.657098948036
1427,422062,SPRUCE  ST,73960,B,3,Conventional,648.273592805903
1428,642493,CASTOR  AVE,21880,B,2,Conventional,522.377009397685
1429,540926,W  LEHIGH  AVE,50000,B,2,Conventional,148.513148158937
1430,540934,W  LEHIGH  AVE,50000,B,2,Conventional,153.255412783458
1431,540916,W  LEHIGH  AVE,50000,B,2,Conventional,130.38931929717
1432,540909,W  LEHIGH  AVE,50000,B,2,Conventional,134.401995812306
1433,540958,E  LEHIGH  AVE,49980,B,2,Conventional,546.553963770578
1434,540987,E  LEHIGH  AVE,49980,B,2,Conventional,552.517987578163
1435,540882,W  LEHIGH  AVE,50000,B,2,Conventional,150.535913963793
1436,540889,W  LEHIGH  AVE,50000,B,2,Conventional,129.586736444685
1437,540867,W  LEHIGH  AVE,50000,B,2,Conventional,169.358204737231
1438,540872,W  LEHIGH  AVE,50000,B,2,Conventional,152.625227602831
1439,540901,W  LEHIGH  AVE,50000,B,2,Conventional,129.080861973237
1440,540858,W  LEHIGH  AVE,50000,B,2,Conventional,196.819978589812
1441,540849,W  LEHIGH  AVE,50000,B,2,Conventional,338.375643784154
1442,540996,E  LEHIGH  AVE,49980,B,2,Conventional,308.83298041034
1443,541049,E  LEHIGH  AVE,49980,B,2,Conventional,148.841556289475
1444,541008,E  LEHIGH  AVE,49980,B,2,Conventional,43.4580880975328
1445,541097,KENSINGTON  AVE,47420,B,3,Conventional,165.555044146351
1446,541147,KENSINGTON  AVE,47420,B,3,Conventional,160.854232757457
1447,540655,W  LEHIGH  AVE,50000,B,2,Conventional,447.525018924625
1448,540625,W  LEHIGH  AVE,50000,B,2,Conventional,367.423349642488
1449,540637,W  LEHIGH  AVE,50000,B,2,Conventional,256.815092113729
1450,540674,W  LEHIGH  AVE,50000,B,2,Conventional,447.784581316304
1451,540693,W  LEHIGH  AVE,50000,B,2,Conventional,384.116566747046
1452,540700,W  LEHIGH  AVE,50000,B,2,Conventional,285.439225834803
1453,540712,W  LEHIGH  AVE,50000,B,2,Conventional,225.122679194002
1454,540724,W  LEHIGH  AVE,50000,B,2,Conventional,138.384844345884
1455,540733,W  LEHIGH  AVE,50000,B,2,Conventional,140.1933521885
1456,540744,W  LEHIGH  AVE,50000,B,2,Conventional,182.795343579828
1457,540760,W  LEHIGH  AVE,50000,B,2,Conventional,235.806997491042
1458,540751,W  LEHIGH  AVE,50000,B,2,Conventional,180.871529350274
1459,540774,W  LEHIGH  AVE,50000,B,2,Conventional,234.347910845584
1460,540782,W  LEHIGH  AVE,50000,B,2,Conventional,188.256435448394
1461,540837,W  LEHIGH  AVE,50000,B,2,Conventional,140.436614497835
1462,540827,W  LEHIGH  AVE,50000,B,2,Conventional,144.294630148353
1463,540791,W  LEHIGH  AVE,50000,B,2,Conventional,184.032692124938
1464,540795,W  LEHIGH  AVE,50000,B,2,Conventional,189.268118207846
1465,540822,W  LEHIGH  AVE,50000,B,2,Conventional,258.340357211683
1466,540799,W  LEHIGH  AVE,50000,B,2,Conventional,138.656557294565
1467,540807,W  LEHIGH  AVE,50000,B,2,Conventional,127.242967283868
1468,642140,W  ALLEGHENY  AVE,12060,B,2,Conventional,144.540353446419
1469,642105,W  ALLEGHENY  AVE,12060,B,2,Conventional,184.900570788193
1470,642111,W  ALLEGHENY  AVE,12060,B,2,Conventional,166.966977640387
1471,642132,W  ALLEGHENY  AVE,12060,B,2,Conventional,168.321650554152
1472,642121,W  ALLEGHENY  AVE,12060,B,2,Conventional,135.568766365129
1473,642157,W  ALLEGHENY  AVE,12060,B,2,Conventional,154.708903836274
1474,642146,W  ALLEGHENY  AVE,12060,B,2,Conventional,130.18467555487
1475,642144,W  ALLEGHENY  AVE,12060,B,2,Conventional,130.814969752784
1476,642188,W  ALLEGHENY  AVE,12060,B,2,Conventional,816.061605297087
1477,641998,W  ALLEGHENY  AVE,12060,B,2,Conventional,282.991211258918
1478,641958,W  ALLEGHENY  AVE,12060,B,2,Conventional,369.275058964882
1479,641965,W  ALLEGHENY  AVE,12060,B,2,Conventional,259.00483108072
1480,641981,W  ALLEGHENY  AVE,12060,B,2,Conventional,221.144434232192
1481,641974,W  ALLEGHENY  AVE,12060,B,2,Conventional,224.241677167107
1482,641929,W  SEDGLEY  AVE,71520,B,2,Conventional,92.4011494464412
1483,640963,W  LYCOMING  ST,52100,B,4,Conventional,942.048523511087
1484,640950,N  5TH  ST,87890,B,3,Conventional,588.221116384401
1485,641062,N  5TH  ST,87890,B,3,Conventional,547.2825029884
1486,641127,N  FRONT  ST,35200,B,3,Conventional,1124.48313937127
1487,641370,N  FRONT  ST,35200,B,3,Conventional,1151.55615188493
1488,641753,E  TIOGA  ST,77400,B,4,Conventional,175.988443502
1489,641771,E  TIOGA  ST,77400,B,4,Conventional,180.689403300019
1490,641767,E  TIOGA  ST,77400,B,4,Conventional,324.239438996927
1491,641719,N  FRONT  ST,35200,B,3,Conventional,447.470878777393
1492,641748,B  ST,15380,B,3,Conventional,440.744802412733
1493,641757,E  TIOGA  ST,77400,B,4,Conventional,124.694120395339
1494,641926,B  ST,15380,B,3,Conventional,557.553366451167
1495,642195,W  ALLEGHENY  AVE,12060,B,2,Conventional,352.521077281293
1496,641969,B  ST,15380,B,3,Conventional,143.515544048956
1497,642127,B  ST,15380,B,3,Conventional,180.582463836971
1498,642060,B  ST,15380,B,3,Conventional,228.474945435861
1499,642341,E  ALLEGHENY  AVE,12040,B,2,Conventional,143.070294918598
1500,642293,E  ALLEGHENY  AVE,12040,B,2,Conventional,262.917210966861
1501,642281,E  ALLEGHENY  AVE,12040,B,2,Conventional,367.016820139433
1502,642306,B  ST,15380,B,3,Conventional,584.164688159194
1503,642328,E  ALLEGHENY  AVE,12040,B,2,Conventional,115.35097958482
1504,642335,E  ALLEGHENY  AVE,12040,B,2,Conventional,205.953476599574
1505,642322,E  ALLEGHENY  AVE,12040,B,2,Conventional,296.021900123243
1506,642307,E  ALLEGHENY  AVE,12040,B,2,Conventional,204.528643668574
1507,642296,E  ALLEGHENY  AVE,12040,B,2,Conventional,87.9812574599328
1508,642348,E  ALLEGHENY  AVE,12040,B,2,Conventional,132.84400699765
1509,642358,E  ALLEGHENY  AVE,12040,B,2,Conventional,138.436580427408
1510,642352,E  ALLEGHENY  AVE,12040,B,2,Conventional,138.61848609098
1511,642369,E  ALLEGHENY  AVE,12040,B,2,Conventional,275.002587279625
1512,642373,E  ALLEGHENY  AVE,12040,B,2,Conventional,137.347558109741
1513,642383,E  ALLEGHENY  AVE,12040,B,2,Conventional,137.273902253233
1514,642386,E  ALLEGHENY  AVE,12040,B,2,Conventional,243.697640048641
1515,642393,E  ALLEGHENY  AVE,12040,B,2,Conventional,308.774388172576
1516,642261,E  ALLEGHENY  AVE,12040,B,2,Conventional,179.310526392053
1517,642251,W  ALLEGHENY  AVE,12060,B,2,Conventional,154.475885526861
1518,642243,W  ALLEGHENY  AVE,12060,B,2,Conventional,146.98402864096
1519,642213,W  ALLEGHENY  AVE,12060,B,2,Conventional,151.911087607819
1520,642204,W  ALLEGHENY  AVE,12060,B,2,Conventional,165.616636414594
1521,642209,W  ALLEGHENY  AVE,12060,B,2,Conventional,168.453444278698
1522,642240,W  ALLEGHENY  AVE,12060,B,2,Conventional,264.415240612229
1523,642232,W  ALLEGHENY  AVE,12060,B,2,Conventional,261.282683430608
1524,642217,W  ALLEGHENY  AVE,12060,B,2,Conventional,150.900520661136
1525,540831,KENSINGTON  AVE,47420,B,3,Conventional,350.839331421245
1526,540919,KENSINGTON  AVE,47420,B,3,Conventional,382.623194846445
1527,642410,E  ALLEGHENY  AVE,12040,B,2,Conventional,141.901410529053
1528,642415,E  ALLEGHENY  AVE,12040,B,2,Conventional,353.320852664589
1529,642407,E  ALLEGHENY  AVE,12040,B,2,Conventional,132.582483543541
1530,642396,E  ALLEGHENY  AVE,12040,B,2,Conventional,144.349396223795
1531,642401,E  ALLEGHENY  AVE,12040,B,2,Conventional,131.110114132599
1532,642422,E  ALLEGHENY  AVE,12040,B,2,Conventional,119.575235446093
1533,641599,N  FRONT  ST,35200,B,3,Conventional,1243.7035735489
1534,641643,B  ST,15380,B,3,Conventional,1249.49527913937
1535,541185,KENSINGTON  AVE,47420,B,3,Conventional,155.265252915603
1536,541215,KENSINGTON  AVE,47420,B,3,Conventional,166.426865692253
1537,541598,KENSINGTON  AVE,47420,B,3,Conventional,192.63547386392
1538,541266,KENSINGTON  AVE,47420,B,3,Conventional,199.326725698957
1539,541315,KENSINGTON  AVE,47420,B,3,Conventional,191.786719377685
1540,541405,KENSINGTON  AVE,47420,B,3,Conventional,392.343554878665
1541,541555,KENSINGTON  AVE,47420,B,3,Conventional,192.658100697096
1542,541519,KENSINGTON  AVE,47420,B,3,Conventional,196.015137039349
1543,541456,KENSINGTON  AVE,47420,B,3,Conventional,197.604601533198
1544,541772,E  LEHIGH  AVE,49980,B,2,Conventional,321.464921405256
1545,541869,E  LEHIGH  AVE,49980,B,2,Conventional,282.222320534977
1546,541663,E  LEHIGH  AVE,49980,B,2,Conventional,150.815051774788
1547,541619,E  LEHIGH  AVE,49980,B,2,Conventional,150.878379555624
1548,541203,E  LEHIGH  AVE,49980,B,2,Conventional,484.116091271393
1549,541333,E  LEHIGH  AVE,49980,B,2,Conventional,430.726959920407
1550,541387,E  LEHIGH  AVE,49980,B,2,Conventional,211.902287031086
1551,540660,KENSINGTON  AVE,47420,B,3,Conventional,212.990791919513
1552,540484,KENSINGTON  AVE,47420,B,3,Conventional,779.030670794255
1553,540616,KENSINGTON  AVE,47420,B,3,Conventional,490.95776663641
1554,540509,KENSINGTON  AVE,47420,B,3,Conventional,78.1844139856949
1555,540301,KENSINGTON  AVE,47420,B,3,Conventional,305.453682695997
1556,540752,KENSINGTON  AVE,47420,B,3,Conventional,425.726989959237
1557,540204,KENSINGTON  AVE,47420,B,3,Conventional,152.047568687437
1558,642400,KENSINGTON  AVE,47420,B,3,Conventional,194.95194381905
1559,541948,ARAMINGO  AVE,12900,B,2,Conventional,394.824295859569
1560,541839,ARAMINGO  AVE,12900,B,2,Conventional,387.35234991263
1561,541949,E  SOMERSET  ST,73260,B,4,Sharrow,240.196939888426
1562,541856,E  SOMERSET  ST,73260,B,4,Sharrow,141.736579062715
1563,541813,E  SOMERSET  ST,73260,B,4,Sharrow,151.129672854573
1564,540240,KENSINGTON  AVE,47420,B,3,Conventional,155.877901005869
1565,540435,E  ALLEGHENY  AVE,12040,B,2,Conventional,422.456679410144
1566,540590,E  ALLEGHENY  AVE,12040,B,2,Conventional,552.835671536309
1567,541742,ARAMINGO  AVE,12900,B,2,Conventional,615.986604050764
1568,541603,ARAMINGO  AVE,12900,B,2,Conventional,939.063870615407
1569,541383,ARAMINGO  AVE,12900,B,2,Conventional,833.966420505994
1570,541250,E  ALLEGHENY  AVE,12040,B,2,Conventional,211.303426971707
1571,541331,E  ALLEGHENY  AVE,12040,B,2,Conventional,214.5509791982
1572,541514,E  ALLEGHENY  AVE,12040,B,2,Conventional,174.895597498751
1573,541564,E  ALLEGHENY  AVE,12040,B,2,Conventional,160.630766254103
1574,541616,E  ALLEGHENY  AVE,12040,B,2,Conventional,159.522599712356
1575,541658,E  ALLEGHENY  AVE,12040,B,2,Conventional,181.950000982878
1576,541719,E  ALLEGHENY  AVE,12040,B,2,Conventional,180.841673322741
1577,541808,E  ALLEGHENY  AVE,12040,B,2,Conventional,242.559718853041
1578,541849,E  ALLEGHENY  AVE,12040,B,2,Conventional,141.971901258221
1579,541891,E  ALLEGHENY  AVE,12040,B,2,Conventional,138.918496546649
1580,541936,E  ALLEGHENY  AVE,12040,B,2,Conventional,105.548618941135
1581,541992,E  ALLEGHENY  AVE,12040,B,2,Conventional,143.211326019397
1582,540930,E  ALLEGHENY  AVE,12040,B,2,Conventional,146.611194462188
1583,540974,E  ALLEGHENY  AVE,12040,B,2,Conventional,141.691680983483
1584,541025,E  ALLEGHENY  AVE,12040,B,2,Conventional,192.391016372288
1585,541191,E  ALLEGHENY  AVE,12040,B,2,Conventional,204.091442121863
1586,541122,E  ALLEGHENY  AVE,12040,B,2,Conventional,147.433619084312
1587,541072,E  ALLEGHENY  AVE,12040,B,2,Conventional,145.953621344418
1588,540875,E  ALLEGHENY  AVE,12040,B,2,Conventional,516.752925613582
1589,540672,E  ALLEGHENY  AVE,12040,B,2,Conventional,274.064102976334
1590,540691,E  ALLEGHENY  AVE,12040,B,2,Conventional,92.3126163595495
1591,540726,E  ALLEGHENY  AVE,12040,B,2,Conventional,93.9207392851202
1592,541190,ARAMINGO  AVE,12900,B,2,Conventional,422.477097107522
1593,541088,ARAMINGO  AVE,12900,B,2,Conventional,102.588307063361
1594,541061,ARAMINGO  AVE,12900,B,2,Conventional,296.920754004729
1595,541001,ARAMINGO  AVE,12900,B,2,Conventional,778.343945369059
1596,540838,ARAMINGO  AVE,12900,B,2,Conventional,777.379789384902
1597,642510,CASTOR  AVE,21880,B,2,Conventional,610.345650927642
1598,541400,E  ALLEGHENY  AVE,12040,B,2,Conventional,209.781677581875
1599,541455,E  ALLEGHENY  AVE,12040,B,2,Conventional,176.407330565961
1600,540668,ARAMINGO  AVE,12900,B,2,Conventional,780.331003191074
1601,642492,ARAMINGO  AVE,12900,B,2,Conventional,832.504652694261
1602,540503,ARAMINGO  AVE,12900,B,2,Conventional,822.446041399046
1603,560015,CASTOR  AVE,21880,B,2,Conventional,348.518172777003
1604,560030,CASTOR  AVE,21880,B,2,Conventional,683.609657760229
1605,560036,CASTOR  AVE,21880,B,2,Conventional,241.651082186789
