X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1571390908779,40.0233574262924,175,4500 Block of N UBER ST,19140,2020,,2020 Playstreets Program
-75.0799858505964,40.0116111015059,176,4600 Block of DITMAN ST,19124,2020,,2020 Playstreets Program
-75.1390301054819,40.0019786258736,177,500 Block of W CORNWALL ST,19140,2020,,2020 Playstreets Program
-75.1696145231485,40.0272503227075,178,5100 Block of HENLEY ST,19144,2020,,2020 Playstreets Program
-75.2227810436335,39.9385197317423,179,5400 Block of REGENT ST,19143,2020,,2020 Playstreets Program
-75.2204165499867,39.9299599251937,180,5700 Block of REEDLAND ST,19143,2020,,2020 Playstreets Program
-75.2405315399001,39.9485268786005,181,5800 Block of MONTROSE ST,19143,2020,,2020 Playstreets Program
-75.132425576042,40.0408334444689,182,5800 Block of N MARSHALL ST,19120,2020,,2020 Playstreets Program
-75.1569295770084,40.0524855238768,183,6400 Block of N BEECHWOOD ST,19138,2020,,2020 Playstreets Program
-75.1641551696499,39.9678741912396,184,1600 Block of SWAIN ST,19130,2020,,2020 Playstreets Program
-75.1838089471015,39.9758772184887,185,1200 Block of N HOLLYWOOD ST,19121,2020,,2020 Playstreets Program
-75.1858403582417,39.9743661618117,186,3000 Block of W HARPER ST,19130,2020,,2020 Playstreets Program
-75.1799327562616,39.9764880611688,187,1300 Block of N 27TH ST,19121,2020,,2020 Playstreets Program
-75.176175395616,39.9285475478346,188,1800 Block of MC CLELLAN ST,19145,2020,,2020 Playstreets Program
-75.1874788853239,39.9335701977801,189,1500 Block of S BAMBREY ST,19146,2020,,2020 Playstreets Program
-75.1801027830872,39.9261739784427,190,2000 Block of MERCY ST,19145,2020,,2020 Playstreets Program
-75.18587449058,39.9245515432728,191,2200 Block of S BUCKNELL ST,19145,2020,,2020 Playstreets Program
-75.1169154619097,40.0229973891479,192,400 Block of E ELEANOR ST,19120,2020,,2020 Playstreets Program
-75.1615526395113,39.9893764740028,193,2300 Block of N BOUVIER ST,19132,2020,,2020 Playstreets Program
-75.1618860511407,39.9878406024065,194,2200 Block of N BOUVIER ST,19132,2020,,2020 Playstreets Program
-75.1440802700331,40.028011027188,195,4900 Block of N CAMAC ST,19141,2020,,2020 Playstreets Program
-75.1400866388899,40.0180915135717,196,4300 Block of N DARIEN ST,19140,2020,,2020 Playstreets Program
-75.2296214114974,39.985697402941,197,5300 Block of EUCLID ST,19131,2020,,2020 Playstreets Program
-75.1172423451459,40.0182349490507,198,4500 Block of HURLEY ST,19120,2020,,2020 Playstreets Program
-75.171422928178,40.003173554869,199,3100 Block of N STILLMAN ST,19132,2020,,2020 Playstreets Program
-75.1775828147289,39.995280443413,200,2800 Block of W HUNTINGDON ST,19132,2020,,2020 Playstreets Program
-75.1558536261011,39.9995841015338,201,3000 Block of N SYDENHAM ST,19132,2020,,2020 Playstreets Program
-75.1593196880759,39.9921617318817,202,2500 Block of N CHADWICK ST,19132,2020,,2020 Playstreets Program
-75.1794932690775,39.9820382466025,203,1700 Block of N MARSTON ST,19121,2020,,2020 Playstreets Program
-75.1729960304874,39.9357392944719,204,1700 Block of LATONA ST,19146,2020,,2020 Playstreets Program
-75.1895545431375,39.9338375665535,205,1500 Block of S 27TH ST,19146,2020,,2020 Playstreets Program
-75.1679694756538,39.9964945559638,206,2700 Block of N CROSKEY ST,19132,2020,,2020 Playstreets Program
-75.1760616369345,39.9975793689435,207,2700 Block of W SILVER ST,19132,2020,,2020 Playstreets Program
